Library,lat,lng
Abington Social Library,41.858412,-72.007712
Andover Public Library,52.6308503,-1.1224774
Ansonia Public Library,41.345165,-73.076683
Babcock Library,41.8629238,-72.1623541
Avon Free Public Library,41.78971,-72.860448
Sprague Public Library,41.6160333,-72.0829571
Beacon Falls Public Library,41.4455144,-73.0601566
Berlin Free Library Association,41.620654,-72.746312
Berlin-Peck Memorial Library,41.6273506,-72.7744549
East Berlin Library Association,41.630466,-72.776463
Clark Memorial Library,41.4269136,-72.9943489
Bethel Public Library,41.3714648,-73.4137874
Bethlehem Public Library,41.638059,-73.2086528
Prosser Public Library,41.8313595,-72.7379439
Wintonbury Branch Library,41.8194717,-72.6961687
Bentley Memorial Library,41.7705212,-72.4346873
James Blackstone Memorial Library,41.280253,-72.8147575
Black Rock Branch Library,41.1586753,-73.2249156
Bridgeport Public Library,41.1758849,-73.1900399
Burroughs Saden Branch Library,41.1758849,-73.1900399
Newfield Branch Library,41.1782413,-73.1660468
North Branch Library,41.2201157,-73.2278187
Old Mill Green Branch Library,41.1978328,-73.1803151
Burnham Public Library,41.5320008,-73.3653514
Bristol Public Library,41.6738287,-72.9421284
F. N. Manross Memorial Library,41.6761393,-72.8979096
Broad Brook Library,41.919324,-72.546467
Brookfield Library,41.46971,-73.3899549
The Brookfield Library,41.46971,-73.3899549
Brooklyn Town Library Association,41.7873836,-71.94953
Burlington Public Library,41.7714406,-72.9670391
Canterbury Public Library,41.6975399,-71.9939268
Canton Public Library,41.8219253,-72.9212399
Chaplin Public Library,41.7993716,-72.1266874
William Ross Public Library,41.7993716,-72.1266874
Cheshire Public Library,41.502115,-72.901891
Chester Public Library,41.4016767,-72.4532846
Henry Carter Hull Library,41.291034,-72.5306339
Cragin Memorial Library,41.57463,-72.333325
Cragin Memorial Library,41.57463,-72.333325
Saxton B. Little Free Library,41.7040121,-72.3031749
Cornwall Library Association,41.8426789,-73.329273
Booth Dimock Memorial Library,41.7677913,-72.2976055
Cromwell Belden Public Library,41.5980472,-72.652349
Danbury Public Library,41.3932928,-73.4511298
Long Ridge Library,41.334217,-73.442876
Killingly Public Library,41.8088371,-71.877832
Darien Library,41.074423,-73.475302
Deep River Public Library,41.386705,-72.4363442
Derby Neck Library,41.33082,-73.1008166
Derby Public Library,41.3265589,-73.0888207
Durham Public Library,41.4713118,-72.680395
East Granby Public Library,41.9425379,-72.7298113
Rathbun Free Memorial Library,41.455753,-72.461614
East Hampton Public Library,41.5731573,-72.5005958
Middle Haddam Public Library,41.5524341,-72.5499148
East Hartford Public Library,41.7683273,-72.6436353
Wickham Memorial Library,41.7794376,-72.6112383
Hagaman Memorial Library,41.2776857,-72.8703085
Library Association Of Warehouse Point,41.9280269,-72.6186791
May Memorial Library,41.9846325,-71.9773769
Eastford Public Library,41.9015343,-72.0799727
Easton Public Library,41.2519663,-73.2978218
Hall Memorial Library,41.9039537,-72.472327
Enfield Public Library,41.9851081,-72.5542865
Pearl Street Branch Library,41.9914363,-72.5975718
Essex Library Association,41.3542586,-72.3966762
Fairfield Public Library,41.1418394,-73.2553462
Fairfield Woods Branch Library,41.1877819,-73.2494588
Pequot Library Association,41.1336185,-73.2896527
David M. Hunt Library,41.956455,-73.3625054
Farmington Library,41.7498387,-72.8674849
Village Branch Library,41.7215801,-72.829913
Janet Carlson Calvert Library,41.6303339,-72.1406169
Janet Carlson Calvert Library,41.6303339,-72.1406169
East Glastonbury Public Library,41.6964106,-72.5373897
South Glastonbury Public Library,41.66765,-72.6058429
Welles-Turner Memorial Library,41.7127232,-72.6096389
Goshen Public Library,41.8344128,-73.2280055
Frederick H. Cossitt Library,41.9957909,-72.830373
Granby Public Library,41.9547578,-72.7917884
Byram Shubert Branch Library,41.00175,-73.6553153
Cos Cob Branch Library,41.0375776,-73.6008657
Greenwich Library,41.0287632,-73.6294717
Slater Library,41.6052263,-71.9832971
Bill Memorial Library,41.355676,-72.0798827
Groton Public Library,41.372858,-72.026668
Guilford Free Library,41.2839909,-72.6808221
Brainerd Memorial Library,41.4789129,-72.5137117
Community Branch Library,41.348476,-72.934329
Hamden Library System,41.3830346,-72.9048293
Whitneyville Branch Library,41.3453259,-72.9149047
Fletcher Memorial Library,41.7847806,-72.0551228
Fletcher Memorial Library,41.7847806,-72.0551228
Albany Avenue Branch Library,41.7830298,-72.6975314
Barbour Branch Library,41.7933044,-72.6782722
Blue Hills Branch Library,41.8050199,-72.6956798
Camp Field Branch Library,41.7422457,-72.6825515
Dwight Branch Library,41.7569603,-72.7064143
Goodwin Memorial Branch Library,41.7393058,-72.6983485
Hartford Public Library,41.7621372,-72.6738536
Mark Twain Branch Library,41.7679179,-72.6969117
Park Branch Library,41.758121,-72.6894255
Ropkins Branch Library,41.7789743,-72.6759514
Hartland Public Library,42.0036586,-72.9734992
Harwinton Public Library,41.7649403,-73.0698462
Douglas Library Of Hebron,41.65798,-72.3639367
Ivoryton Library Association,41.3482017,-72.4418869
Kent Library Association,41.7264632,-73.4752856
Kent Library Association,41.7264632,-73.4752856
Killingworth Library,41.3658491,-72.5654848
Jonathan Trumbull Library,41.6363276,-72.2131316
Bill Library,41.4398544,-72.0152504
Gales Ferry Public Library,41.4285111,-72.085646
Ledyard Public Libraries,41.4398544,-72.0152504
Oliver Wolcott Library,41.7413902,-73.1878432
Lyme Public Library,41.4141476,-72.3365512
E.C. Scranton Memorial Library,41.2798986,-72.5939319
Manchester Public Library,41.7746206,-72.5220377
Whiton Memorial Library,41.794757,-72.523726
Mansfield Public Library,41.768396,-72.1957015
Richmond Memorial Library,41.6288068,-72.4562768
Boys Girls Club Of Meriden,41.540687,-72.801473
John Barry School,41.5456031,-72.8052747
Meriden Public Library,41.5375753,-72.7967279
Nathan Hale School,41.5430086,-72.7745955
Middlebury Public Library,41.5288727,-73.1177348
Levi E.Coe Library,41.5159735,-72.7122737
Godfrey Memorial Library,41.5629325,-72.6677139
Russell Library,41.5599803,-72.6523989
Milford Public Library,41.2225623,-73.0546839
Edith Wheeler Memorial Library,41.3311867,-73.2070016
East Haddam Free Public Library,41.500447,-72.448924
Aldrich Free Public Library,41.719216,-71.874701
Morris Public Library,41.6839604,-73.1994693
Mystic Noank Library,41.3539639,-71.9748541
Howard Whittemore Memorial Library,41.4909039,-73.0547184
Chamberlain Branch Library,41.6728712,-72.760193
New Britain Public Library,41.6678705,-72.7852902
Thomas Jefferson Branch Library,41.6956432,-72.7999895
New Canaan Library,41.145559,-73.492073
New Fairfield Free Public Library,41.4657709,-73.4864088
"Bakerville Library, Inc.",41.8315746,-73.0300745
Licia Mason Beekley Community Library,41.9155185,-73.0502548
The Licia Mason Beekley Community Library,41.9155185,-73.0502548
Fair Haven Branch Library,41.308584,-72.894204
Mitchell Branch Library,41.327791,-72.961609
New Haven Free Public Library,41.308986,-72.924769
Stetson Branch Library,41.318387,-72.934232
Public Library Of New London,41.3549729,-72.0993623
New Milford Public Library,41.5784429,-73.4105789
Lucy Robbins Welles Library,41.6970794,-72.7284657
Cyrenius H. Booth Library,41.4121382,-73.3086303
East Lyme Public Library,41.3491199,-72.2164435
Norfolk Library,41.989829,-73.198654
The Norfolk Library,41.989829,-73.198654
Atwater Memorial Library,41.3291464,-72.7647208
Edward Smith Library,41.3939005,-72.7916211
North Branford Library Department,41.3291464,-72.7647208
Douglas Library,42.0218468,-73.3170004
Thompson Public Library,41.9844992,-71.9000359
North Haven Memorial Library,41.3877089,-72.8632336
Wheeler Library,41.4405566,-71.8849425
Gilbert Library,41.6967545,-73.1071855
East Norwalk Library,41.1018876,-73.4058747
Norwalk Public Library,41.116752,-73.41564
Rowayton Library,41.0653417,-73.4373576
South Norwalk Branch Library,41.0988384,-73.4211386
Otis Library,41.5245307,-72.0738312
Raymond Library,41.478851,-72.152976
Perrot Memorial Library,41.0385529,-73.5698536
Perrot Memorial Library,41.0385529,-73.5698536
Old Lyme - Phoebe Griffin Noyes Library,41.3163638,-72.3292295
Acton Public Library,41.287639,-72.379936
Sterling Public Library,41.692332,-71.806061
Case Memorial Library,41.2789604,-73.0251
Oxford Public Library,41.4378717,-73.1209801
Central Village Public Library,41.7177388,-71.9217775
Plainfield Public Library,41.6799676,-71.9191213
Plainville Public Library,41.6712801,-72.8654836
Plymouth Library Association,41.6718776,-73.0523404
Pomfret Public Library,41.888543,-71.961895
Portland Public Library,41.574086,-72.6369641
Preston Public Library,41.4895008,-71.992807
Preston Public Library,41.4895008,-71.992807
Prospect Public Library,41.5008169,-72.9784711
Putnam Public Library,41.9181871,-71.9096052
Mark Twain Library,41.3045399,-73.392898
Ridgefield Library,41.2834061,-73.4985077
Cora J. Belden Library,41.6678901,-72.6386328
Minor Memorial Library,41.5529696,-73.3071589
Salem Free Public Library,41.4922954,-72.276296
Scoville Memorial Library,41.9808755,-73.4225892
Scotland Public Library,41.6998748,-72.0816436
Seymour Public Library,41.3959369,-73.0799288
Hotchkiss Library,41.8774749,-73.4769042
Huntington Branch,41.2934747,-73.1464676
Plumb Memorial Library,41.3195444,-73.0981215
Sherman Library Assn.,41.5778991,-73.4976116
Simsbury Public Library,41.8727832,-72.8034078
Somers Public Library,41.9813694,-72.4637143
Hanover School,41.5188134,-72.832229
"Guilford Smith Memorial Library, Inc.",41.7159591,-72.1951898
South Windsor Public Library,41.8287339,-72.5529637
Wood Memorial Library And Museum,41.8236066,-72.6213258
Southbury Public Library,41.4804459,-73.2199895
Southington Public Library,41.596061,-72.87732
Pequot Library Association,41.1336185,-73.2896527
Stafford Library Association,41.9689175,-72.3043575
Ferguson Library,41.0534302,-73.5387341
Harry Bennett Library,41.0994597,-73.5438375
South End Community Center Branch Library,41.0422968,-73.5375031
Weed Memorial Branch Library,41.0974431,-73.5195683
Stonington Free Library,41.336378,-71.90651
Willoughby Wallace Memorial Library,41.2713962,-72.7525263
Stratford Library Association,41.1908543,-73.1305402
Kent Memorial Library,41.9820073,-72.650369
Terryville Public Library,41.6793502,-73.0129781
Thomaston Public Library,41.6722802,-73.0758931
Town Of Tolland Public Library,41.8698745,-72.3678764
Torrington Library Association,41.7999417,-73.1222943
Fairchild-Nichols Library,41.2402776,-73.1614188
Trumbull Library,41.2566577,-73.2172448
Union Free Public Library,41.9902726,-72.1591433
"Rockville Public Library, Inc.",41.8673201,-72.4515905
Voluntown Public Library,41.572911,-71.8693401
Wallingford Public Library,41.4572849,-72.8167474
Yalesville Branch Library,41.4922309,-72.823362
Warren Public Library,41.7417046,-73.3482254
Gunn Memorial Library,41.6314722,-73.3102575
Bunker Hill Branch Library,41.568198,-73.062399
Silas Bronson Library,41.5543353,-73.0447799
Waterford Public Library,41.3418745,-72.1360378
Oakville Branch Library,41.587639,-73.088647
Watertown Library Association,41.5894741,-73.0895198
Hughes Memorial Library,41.88125,-73.3640204
Bishops Corner Branch Library,41.787376,-72.745379
Faxon Branch Library,41.730704,-72.728043
West Hartford Public Library,41.7606651,-72.7414851
Louis Piantino Branch Library,41.296199,-72.959081
Ora Mason Branch Library,41.249961,-72.983122
West Haven Public Library,41.275497,-72.952036
Westbrook Public Library,41.2852512,-72.4429601
Weston Public Library,41.2023523,-73.3784312
Westport Library,41.1407665,-73.3616887
Wethersfield Public Library,41.7116932,-72.6633885
Willimantic Public Library,41.7127932,-72.2160145
Willington Public Library,41.8775634,-72.2681453
Wilton Library Association,41.192668,-73.431569
Beardsley Memorial Library,41.9259188,-73.0762329
Windham Free Library,41.6998208,-72.1570219
Wilson Branch Library,41.8132442,-72.657581
Windsor Public Library,41.8488569,-72.6442605
Windsor Locks Public Library,41.9282607,-72.6288176
Wolcott Public Library,41.6093673,-72.9778392
Woodbridge Town Library,41.3537855,-73.0118455
Woodbury Public Library,41.5418375,-73.2075529
Howard W. Bracken Memorial Library,41.951683,-71.974669
North Woodstock Library,41.995424,-71.9998729
West Woodstock Library Association,41.9554934,-72.0468498
